Today 8/3/1997 is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/04/1997 (B) 12/04/1996 (C) 08/04/1901 (D) 08/04/2004 (E) 08/01/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. Therefore among A through F the answer is A.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 03/12/2001 (B) 03/12/2085 (C) 03/12/2000 (D) 05/18/2001 (E) 03/13/2001 (F) 03/18/2001,Jane thinks today is 3/11/2002 which means that one year ago today was 3/11/2001. The correct answer is A. Therefore among A through F the answer is A.
The current local time is 3:02 pm of 5/4/2004. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 05/04/2003 (B) 12/04/2002 (C) 05/03/2003 (D) 06/02/2003 (E) 06/14/2003,The current local time is 3:02 pm of 5/4/2004. That means it is currently May 4th 2004. One year ago would be May 4th 2003. Therefore the answer is (A) 05/04/2003. Therefore among A through F the answer is A.
Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue 7/9/1972). What is the date today in MM/DD/YYYY? Answer Choices: (A) 07/07/1972 (B) 07/12/1972 (C) 07/08/1884 (D) 07/08/1979 (E) 07/08/1972,Jane scheduled 3 appointments for tomorrow which means that today is Monday July 8 1972. Therefore the answer is (E). Therefore among A through F the answer is E.
Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 12/31/1856 (B) 04/01/1930 (C) 01/10/1930 (D) 01/03/1930 (E) 12/31/1838 (F) 12/31/1929,The question is asking for the date yesterday in MM/DD/YYYY format. The given information is that yesterday was 12/31/1929 and today could not be 12/32/1929 because December has only 31 days. This means that today is 1/1/1930. Therefore yesterday was 12/31/1929. Therefore among A through F the answer is F.
The day before yesterday was 11/23/1933. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 11/22/1933 (B) 10/25/1989 (C) 10/25/1933 (D) 10/26/1933 (E) 10/25/1921,The day before yesterday was 11/23/1933. This means that yesterday was 11/24/1933. A month ago from yesterday would be 10/24/1933. However the question is asking for the date a month ago in MM/DD/YYYY format which would be 10/25/1933. Therefore among A through F the answer is C.
Today is Sep 9 1909. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/10/1908 (B) 09/10/1909 (C) 09/11/1909 (D) 07/03/1909 (E) 09/09/1909 (F) 12/14/1909,First we need to figure out what day of the week today is. Today is September 9 1909. September 9 1909 was a Wednesday. Therefore tomorrow is Thursday September 10 1909. The answer is B. Therefore among A through F the answer is B.
Today is the second day of the third month of 1966. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 03/01/1966 (B) 03/02/1966 (C) 03/04/1966 (D) 10/01/1966 (E) 03/01/1871 (F) 11/01/1966,The question is asking for the date yesterday. Yesterday was the second day of the third month. The day before yesterday was the first day of the third month. Therefore the date yesterday in MM/DD/YYYY is 03/01/1966. Therefore among A through F the answer is A.
Today is the last day of the first quarter of 2008. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 04/01/2007 (B) 03/31/2103 (C) 07/09/2007 (D) 03/31/2007 (E) 03/31/2051,The first quarter of 2008 ended on March 31 2008. One year ago from that would be March 31 2007. Therefore the answer is D. Therefore among A through F the answer is D.
Tomorrow is 11/12/2019. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 11/18/2011 (B) 11/04/2019 (C) 02/18/2020 (D) 08/21/2019 (E) 11/18/2025 (F) 11/18/2019,One week from today would be 11/19/2019. Therefore among A through F the answer is F.
Jane is celebrating the last day of Jan 2012. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 01/30/2012 (B) 01/30/1925 (C) 01/29/2012 (D) 02/06/2012 (E) 09/30/2011,The last day of January 2012 is January 31st. January 30th is the day before that. Therefore the answer is 01/30/2012. Therefore among A through F the answer is A.
Today is the second day of the third month of 1966. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 10/23/1966 (B) 02/02/1966 (C) 02/26/1966 (D) 01/13/1966 (E) 02/23/1966 (F) 02/23/1968,One week ago today would be two days ago in the third week of the month. Two days ago would be on a Tuesday. The third week of the month would be the week of February 13th. Therefore one week ago today would be February 23rd 1966. Therefore among A through F the answer is E.
Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue 7/9/1972). What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 07/03/1972 (B) 10/28/1971 (C) 06/14/1972 (D) 06/28/1972 (E) 06/23/1972 (F) 09/28/1972,Jane scheduled 3 appointments with 5 people for tomorrow which is Tuesday July 9th 1972. 10 days ago would be Wednesday June 28th 1972. The answer is D. Therefore among A through F the answer is D.
Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue 7/9/1972). What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 06/08/1972 (B) 06/07/1972 (C) 12/08/1971 (D) 06/08/2034 (E) 06/22/1972 (F) 06/08/2059,Jane scheduled 3 appointments for tomorrow which means that today is Monday July 8 1972. A month ago would have been June 8 1972. The answer is (A). Therefore among A through F the answer is A.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 01/06/1960 (B) 12/27/2018 (C) 01/07/2019 (D) 01/06/2019 (E) 10/06/2019 (F) 01/06/2058,The first day of 2019 is a Tuesday. That means that the day before Monday was 01/06/2019. Therefore among A through F the answer is D.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 04/05/1973 (B) 03/08/1983 (C) 03/05/1972 (D) 01/02/1973 (E) 03/02/1973 (F) 03/06/1973,The date is 3/5 which is Jane's second time in the year 1973 to see a meteor shower. 24 hours later would be 3/6. Therefore among A through F the answer is F.
Jane quited her job on Mar 20 2020. 176 days have passed since then. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 06/13/2021 (B) 09/13/2020 (C) 09/13/1991 (D) 09/19/2020 (E) 10/05/2020 (F) 12/13/2020,Jane quit her job on March 20th 2020. That's 3/20/2020. 3/20/2020 + 176 days = 9/13/20209/13/2020 + 24 hours = 9/14/2020Therefore the answer is 9/14/2020. Therefore among A through F the answer is B.
It is 4/19/1969 today. What is the date today in MM/DD/YYYY? Answer Choices: (A) 04/18/1969 (B) 07/19/1969 (C) 04/20/1969 (D) 05/17/1969 (E) 04/19/1969 (F) 04/12/1969,First we need to understand what the question is asking. It is asking for the date in MM/DD/YYYY format. Second we need to look at the information given to us. The information given is that it is 4/19/1969 today. Third we need to use the information given to us to solve the problem. The information given is that it is 4/19/1969 today. This means that the date today in MM/DD/YYYY format is 04/19/1969. Therefore the answer is (E) 04/19 Therefore among A through F the answer is E.
Today is 9/7. Jane is watching NFL 2003. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 08/28/1959 (B) 08/28/2043 (C) 08/28/2003 (D) 06/14/2003 (E) 03/28/2003 (F) 08/29/2003,The date 10 days ago from 9/7/2003 is 8/28/2003. Therefore among A through F the answer is C.
Today is the first day of 2007. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 01/09/2007 (B) 01/21/2007 (C) 01/07/2007 (D) 01/29/2007 (E) 01/08/2008 (F) 01/08/2007,Today is the first day of 2007. One week from today would be the 8th day of 2007. Therefore the date one week from today is 01/08/2007. Therefore among A through F the answer is F.
Yesterday Jan 21 2011 Jane ate 2 pizzas and 5 wings. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 01/13/2011 (B) 01/12/2069 (C) 01/12/2011 (D) 01/18/2011 (E) 08/12/2010 (F) 05/12/2010,The date 10 days ago from Jan 21 2011 is Jan 11 2011. Therefore among A through F the answer is C.
Today is Christmas Eve of 1937. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/16/1937 (B) 09/18/1937 (C) 12/17/1937 (D) 08/17/1937 (E) 12/18/1937,One week ago from today would be December 17 1937. The answer is C. Therefore among A through F the answer is C.
Jane is celebrating the last day of Jan 2012. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 11/10/2011 (B) 01/04/2012 (C) 02/01/2016 (D) 01/31/2012 (E) 02/01/2079 (F) 02/01/2012,The last day of Jan 2012 is 1/31/2012. 24 hours later would be 1/31/2012 + 1 day which would be 2/1/2012. Therefore the answer is (F) 02/01/2012. Therefore among A through F the answer is (F).
Jane booked a flight for tomorrow Jul 29 2002. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 07/28/2095 (B) 07/24/2001 (C) 10/10/2001 (D) 01/28/2002 (E) 09/28/2001 (F) 07/28/2001,One year ago from today would be July 29 2001. Therefore among A through F the answer is F.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. John is correct. What is the date today in MM/DD/YYYY? Answer Choices: (A) 06/20/2019 (B) 06/19/2040 (C) 06/19/2019 (D) 07/03/2019 (E) 01/19/2020 (F) 06/18/2019,Jane thinks today is 6/18/2019. John thinks today is 6/19/2019. That means that as of right now it is still 6/18/2019 for Jane. However it is 6/19/2019 for John. Therefore the answer is C. Therefore among A through F the answer is C.
Today is 9/7. Jane is watching NFL 2003. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 09/05/2003 (B) 10/23/2003 (C) 09/06/2102 (D) 09/21/2003 (E) 09/06/2003,Jane is watching NFL 2003. The year is 2003. One day ago would be September 6th 2003 so the answer is (E). Therefore among A through F the answer is E.
In the UK people usually put the day before the month when formatting the date. Therefore today is 02/01/1987 to them. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 01/04/1987 (B) 12/06/1986 (C) 01/03/2035 (D) 02/03/1986 (E) 01/03/1987 (F) 01/09/1987,The day tomorrow is 03. The month tomorrow is 01. The year tomorrow is 1987. Therefore the date tomorrow in MM/DD/YYYY is 01/03/1987. Therefore among A through F the answer is E.
The current local time is 3:02 pm of 5/4/2004. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 04/25/2004 (B) 05/15/2004 (C) 04/24/2004 (D) 04/10/2004 (E) 11/24/2003 (F) 04/24/2023,The current local time is 3:02 pm of 5/4/2004. 3:02 pm of 5/4/2004 is 15:02 on 4 May 2004. 10 days ago would be 15:02 on 24 April 2004. Therefore the answer is (C). Therefore among A through F the answer is (C).
Today is the palindrome day of 2020 because the MMDDYYYY format of the date is the same backwards as forwards. What is the date today in MM/DD/YYYY? Answer Choices: (A) 02/02/2020 (B) 01/23/2020 (C) 01/19/2020 (D) 02/01/2020 (E) 05/02/2019 (F) 11/08/2019,The day is the 1st so the day must be 01. The month is the 2nd so the month must be 02. The year is 2020 so the year must be 2020. Therefore the date is 01/02/2020. Therefore among A through F the answer is A.
It is 4/19/1969 today. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 04/13/1969 (B) 03/28/1969 (C) 04/12/1969 (D) 04/02/1969 (E) 02/12/1970 (F) 03/04/1969,First we need to find out what day of the week it is today. We can do that by looking at a calendar. Today is Friday April 19 1969. Next we need to find out what day of the week it was one week ago. We can do that by going back 7 days on the calendar. One week ago was Friday April 12 1969. Finally we need to put the date in the MM/DD/YYYY format. So one week ago from today was 04/12/1969. Therefore among A through F the answer is C.
Today 8/3/1997 is a day that we will never forget. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 05/01/1997 (B) 08/04/1935 (C) 08/04/2043 (D) 08/04/1978 (E) 08/04/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. 24 hours later would be 8/5/1997. Therefore among A through F the answer is E.
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 11/23/2002 (B) 08/29/2002 (C) 10/15/2002 (D) 12/07/2002 (E) 06/23/2002 (F) 11/09/2002,The fourth Thursday of November 2001 is November 22 2001. The day after that is November 23 2001. Therefore the answer is A. Therefore among A through F the answer is A.
Today is the last day of the first quarter of 2008. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 03/24/2008 (B) 05/05/2008 (C) 12/23/2007 (D) 03/24/2047 (E) 04/14/2008 (F) 03/24/2043,The last day of the first quarter of 2008 is March 31. One week ago would be March 24. Therefore the answer is A. Therefore among A through F the answer is A.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 12/11/2002 (B) 03/10/2002 (C) 04/23/2002 (D) 03/12/2002 (E) 02/11/2002 (F) 03/11/2002,Jane thinks that today is 3/11/2002 which means that yesterday was 3/10/2002. However the correct answer is that today is 3/12/2002 which means that yesterday was 3/11/2002. Therefore the answer is (F). Therefore among A through F the answer is (F).
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 12/31/2007 (B) 12/27/2007 (C) 01/01/2008 (D) 02/03/2008 (E) 01/02/2008,The golden wedding anniversary is when a couple has been married for 50 years. 50 years ago from today's date would be 01/02/1968. Therefore yesterday's date was 01/01/1968. The answer is C. Therefore among A through F the answer is C.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 03/31/2018 (B) 12/30/2018 (C) 12/31/1961 (D) 12/31/2018 (E) 01/01/2019 (F) 12/29/2018,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that last week was 2018. Therefore one week ago from today would be December 31 2018. The answer is D. Therefore among A through F the answer is D.
Today is Christmas Eve of 1937. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 12/14/1950 (B) 07/14/1938 (C) 12/14/2026 (D) 12/14/2007 (E) 12/14/1937 (F) 12/14/1988,First we need to figure out what year it is. We are given that it is Christmas Eve which means it is December 24. We are also given that it is 1937. So the date 10 days ago would be December 14 1937. Therefore among A through F the answer is E.
Today 8/3/1997 is a day that we will never forget. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 06/29/1997 (B) 09/02/1997 (C) 12/27/1997 (D) 07/27/1997 (E) 07/27/1973 (F) 03/27/1998,One week ago today would be Wednesday which was 8/3 - 7 = 7/27. The answer is D. Therefore among A through F the answer is D.
Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/02/1930 (B) 08/02/1930 (C) 11/06/1929 (D) 01/02/1877 (E) 03/30/1930 (F) 01/02/1884,The day after 12/31/1929 is 01/01/1930. The day after 01/01/1930 is 01/02/1930. Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/20/2017 (B) 03/17/2017 (C) 03/01/2017 (D) 03/25/2017 (E) 03/01/2076 (F) 03/01/2116,Jane's 16th birthday is on February 28 2017. Tomorrow March 1 2017 is her 17th birthday. The date tomorrow in MM/DD/YYYY is 03/01/2017. Therefore among A through F the answer is C.
Today is 9/7. Jane is watching NFL 2003. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 09/08/2002 (B) 09/07/1918 (C) 09/28/2002 (D) 08/24/2002 (E) 12/07/2002 (F) 09/07/2002,One year ago from today would be 9/7 - 1 year = 9/7 - 365 days = 9/7/2002 Therefore among A through F the answer is F.
Today is Apr 10 1985. Jane's appointment will be 3 days later. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 04/17/1985 (B) 03/10/1986 (C) 04/12/1986 (D) 04/10/1985 (E) 04/07/1985 (F) 05/10/1975,Today is April 10 1985. Jane's appointment is three days later so that would be April 13 1985. One week from today would be April 20 1985. Therefore the answer is (A). Therefore among A through F the answer is A.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 01/13/2019 (B) 02/04/2019 (C) 02/11/2019 (D) 12/31/2018 (E) 01/14/2019 (F) 01/16/2019,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that today is January 7 2019. One week from today would be January 14 2019. Therefore the answer is (E). Therefore among A through F the answer is (E).
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 04/28/2002 (B) 02/13/2002 (C) 04/19/2002 (D) 04/24/2002 (E) 05/20/2002 (F) 04/29/2002,Jane says that May 6 1992 is like yesterday which means that today is May 7 2002. One week ago from today would be April 30 2002. Therefore the answer is (F). Therefore among A through F the answer is (F).
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date today in MM/DD/YYYY? Answer Choices: (A) 05/25/1943 (B) 06/02/2013 (C) 06/02/1943 (D) 06/07/1943 (E) 06/02/1965 (F) 07/25/1943,The concert was scheduled to be on 06/01/1943 but was delayed by one day. This means that the concert was supposed to happen on June 1st 1943 but it was pushed back to June 2nd 1943. Therefore the answer is C: 06/02/1943. Therefore among A through F the answer is C.
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 12/30/2007 (B) 01/09/2008 (C) 11/09/2008 (D) 08/09/2008 (E) 09/09/2008 (F) 12/12/2007,The golden wedding anniversary is the 50th anniversary of the wedding. The wedding was on January 2 1958. 50 years from January 2 1958 is January 2 2008. Therefore one week from today would be January 9 2008. The answer is (B). Therefore among A through F the answer is (B).
On May 9th 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 05/19/2017 (B) 05/18/2017 (C) 06/24/2017 (D) 05/04/2017 (E) 10/18/2017 (F) 05/11/2017,Jane bought 40 eggs on May 9th 2017. She ate one egg per day. Today she ran out of eggs. That means that she ate 40 eggs in 40 days. 40 days ago was April 19th 2017. Therefore among A through F the answer is B.
2015 is coming in 36 hours. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/29/2014 (B) 12/30/1933 (C) 01/30/2014 (D) 10/30/2015 (E) 12/31/2014 (F) 12/30/2014,The day after 12/29/2014 is 12/30/2014. The day after 12/30/1933 is 12/31/1933. The day after 01/30/2014 is 01/31/2014. The day after 10/30/2015 is 10/31/2015. The day after 12/31/2014 is 01/01/2015. The day after 12/30/2014 is 12/31/2014. Therefore among A through F the answer is F.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 03/15/2017 (B) 03/07/2017 (C) 03/07/1992 (D) 03/07/2058 (E) 03/07/2018 (F) 03/08/2017,Jane's 16th birthday is on 02/28/2017. One week from her birthday would be 03/07/2017. The answer is B. Therefore among A through F the answer is B.
Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date today in MM/DD/YYYY? Answer Choices: (A) 12/31/1929 (B) 01/08/1930 (C) 01/01/1930 (D) 10/01/1930 (E) 01/06/1930 (F) 02/27/1930,The question is asking for the date today in MM/DD/YYYY format. The given information is that yesterday was 12/31/1929. We know that December has 31 days so today cannot be 12/32/1929. This means that today is 01/01/1930. Therefore the answer is C. Therefore among A through F the answer is C.
Today 8/3/1997 is a day that we will never forget. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 05/03/1997 (B) 08/03/2035 (C) 10/07/1996 (D) 08/04/1996 (E) 08/03/1996,One year ago from today would be 8/3/1996. Therefore among A through F the answer is E.
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/26/2099 (B) 09/26/2008 (C) 12/26/2007 (D) 12/26/1951 (E) 12/05/2007 (F) 05/26/2007,The golden wedding anniversary is the 50th anniversary which falls on January 2 2008. One week ago from today would be December 26 2007. Therefore among A through F the answer is C.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 07/03/1942 (B) 09/02/1942 (C) 06/30/1942 (D) 06/09/1942 (E) 06/02/1942 (F) 06/23/1942,The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. This means that the concert was on 06/02/1943. One year ago from today would be 06/02/1942. Therefore the answer is (E). Therefore among A through F the answer is (E).
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 12/24/2018 (B) 06/28/2019 (C) 12/28/2018 (D) 01/01/2019 (E) 12/14/2018 (F) 10/28/2019,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. 10 days ago would be Thursday December 27 2018. The answer is C. Therefore among A through F the answer is C.
The current local time is 3:02 pm of 5/4/2004. What is the date today in MM/DD/YYYY? Answer Choices: (A) 05/03/2004 (B) 05/11/2004 (C) 05/05/2004 (D) 05/04/2004 (E) 04/28/2004 (F) 05/04/2005,The current local time is 3:02 pm. The current local time is 15:02. It is currently 3:02 pm on 5/4/2004. Today's date is 5/4/2004. Therefore among A through F the answer is D.
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/03/2008 (B) 01/06/2008 (C) 07/03/2007 (D) 01/02/2008 (E) 01/11/2008 (F) 01/17/2008,The golden wedding anniversary is the 50th anniversary of the couple's wedding. The couple's wedding was on January 2 1958. 50 years after January 2 1958 is January 2 2008. 24 hours after January 2 2008 is January 3 2008. Therefore the answer is
Today is Sep 9 1909. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 09/13/1908 (B) 09/09/1908 (C) 09/04/1908 (D) 07/05/1908 (E) 09/09/1920 (F) 09/09/1870,One year ago from today would be September 9th 1908. The answer is (B). Therefore among A through F the answer is B.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 04/04/1943 (B) 12/02/1943 (C) 05/02/1943 (D) 02/22/1943 (E) 04/28/1943,The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. This means that the concert was supposed to happen on 06/01 but it was pushed back to 06/02. A month ago from 06/02 would be 05/02. Therefore the answer is (C). Therefore among A through F the answer is C.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 01/02/1973 (B) 03/05/1972 (C) 04/05/1973 (D) 03/02/1973 (E) 03/08/1983 (F) 02/26/1973,The date one week ago from today would be 3/5 - 7 = 2/26. However Jane is in the year 1973 so the date one week ago from today in MM/DD/YYYY would be 02/26/1973. Therefore among A through F the answer is F.
In the UK people usually put the day before the month when formatting the date. Therefore today is 02/01/1987 to them. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 01/01/1987 (B) 01/01/1934 (C) 01/01/2015 (D) 10/19/1986 (E) 12/29/1986 (F) 01/08/1987,The question is asking for the date yesterday in MM/DD/YYYY. First we need to find out what today's date is in MM/DD/YYYY. Today's date is 02/01/1987. To find out yesterday's date we need to subtract 1 day from today's date. Yesterday's date is 01/31/1987. Therefore among A through F the answer is A.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/25/2018 (B) 11/16/2018 (C) 01/08/2119 (D) 01/02/2019 (E) 01/07/2019 (F) 01/08/2019,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that tomorrow is the second Tuesday of 2019. Therefore the date tomorrow is 01/08/2019. Therefore among A through F the answer is F.
The day before yesterday was 11/23/1933. What is the date today in MM/DD/YYYY? Answer Choices: (A) 01/04/1934 (B) 11/25/1967 (C) 11/25/1933 (D) 11/04/1933 (E) 12/09/1933 (F) 08/29/1933,The day before yesterday was 11/23/1933. That means yesterday was 11/24/1933 and today is 11/25/1933. Therefore the answer is C. Therefore among A through F the answer is C.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 06/09/1943 (B) 06/09/2002 (C) 06/23/1943 (D) 06/09/1942 (E) 06/10/1943 (F) 06/02/1943,The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. Today is 06/02/1943. One week from today is 06/09/1943. Therefore the answer is (A). Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 03/18/2017 (B) 02/18/2017 (C) 02/13/2017 (D) 03/04/2017 (E) 02/25/2017 (F) 02/28/2017,Jane's 16th birthday is 02/28/2017. 10 days ago would be 02/18/2017. Therefore among A through F the answer is B.
Today is the first day of 2007. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 12/01/1948 (B) 12/01/2006 (C) 05/01/2007 (D) 11/10/2006 (E) 12/01/2053 (F) 08/01/2007,A month ago would be December so the month would be 12. The day would be 1 since it's the first day of the month and the year would be 2006 since it's one year before 2007. Therefore the answer is 12/01/2006. Therefore among A through F the answer is B.
Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue 7/9/1972). What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 07/01/1972 (B) 07/07/1972 (C) 07/12/1972 (D) 05/07/1973 (E) 01/07/1973 (F) 08/25/1972,Jane scheduled 3 appointments for tomorrow which means that today is Monday July 8th. Yesterday would be Sunday July 7th. Therefore the answer is B. Therefore among A through F the answer is B.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 11/21/1924 (B) 10/22/1924 (C) 10/07/1924 (D) 10/21/1924 (E) 10/22/1944 (F) 08/22/1925,The meeting is rescheduled to 11 am tomorrow 10/16/1924. That means the meeting is on 10/16/1924. One week from that date would be 10/23/1924. Therefore the answer is (B). Therefore among A through F the answer is (B).
On May 9th 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 06/08/1933 (B) 06/14/2017 (C) 06/08/2017 (D) 06/22/2017 (E) 06/06/2017 (F) 05/15/2017,Jane bought 40 eggs on May 9th 2017. She ate one egg per day. Today she ran out of eggs. That means that she ate her last egg 10 days ago. Therefore the date 10 days ago was on June 8th 2017. The answer is (C). Therefore among A through F the answer is C.
Jane is celebrating the last day of Jan 2012. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 07/21/2011 (B) 01/21/2012 (C) 12/31/2011 (D) 04/21/2012 (E) 01/25/2012 (F) 10/13/2011,The last day of Jan 2012 is 1/31/2012. 10 days ago would be 1/21/2012. Therefore among A through F the answer is B.
Jane booked a flight for tomorrow Jul 29 2002. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 07/08/2002 (B) 10/08/2002 (C) 08/08/2002 (D) 09/06/2002 (E) 10/18/2001 (F) 07/18/2002,Jane booked a flight 10 days ago. 10 days ago from today is July 19 2002. Therefore among A through F the answer is F.
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date today in MM/DD/YYYY? Answer Choices: (A) 05/06/2002 (B) 05/06/1935 (C) 05/06/1912 (D) 05/06/1964 (E) 05/06/2095 (F) 08/06/2002,Jane says that May 6 1992 is like yesterday. That means today is May 6 2002. Therefore the answer is (A). Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/20/2016 (B) 03/01/2104 (C) 03/01/2048 (D) 03/02/2016 (E) 03/01/1968 (F) 03/01/2016,Jane's 16th birthday is on February 29th which is a leap day. Tomorrow is March 1st. The answer is 03/01/2016. Therefore among A through F the answer is F.
